id,TITLE,CREATOR,INNOPAC,LINK,coverage_place,COVERAGE_REGION,FILE_BROWSE,FURTHER_INFO,,LATITUDE,LONGITUDE,ORIGINAL_FORMAT,PUBLISHER,PLACE_OF_CREATION,ADDITIONAL_CREATOR,COVERAGE_PERIOD,COVERAGE_YEAR
1524,Australia circumnavigated: General chart of Terra Australis,"Flinders, Matthew, 1774-1814",http://www.catalog.slsa.sa.gov.au/record=b1530079,http://www.samemory.sa.gov.au/site/page.cfm?c=1524,Australia,,<link>http://images.slsa.sa.gov.au/samemory/maps/exploration/flinders_aus_i16832395/zcm_aus_1798-1803r_pl1_i16832395.jpg</link> ,"<div><div> <blockquote class=pullquote> <p><img align=right height=42 src=/webdata/graphics/iconZoomMap.gif width=40/>View a <a href=http://images.slsa.sa.gov.au/samemory/zoom/flinders_aus_i16832395/1798-1803r_pl1_i16832395.htm target=_blank title=http://images.slsa.sa.gov.au/samemory/zoom/flinders_aus_i16832395/1798-1803r_pl1_i16832395.htm>zoomable</a> version.</p> </blockquote> <p>Matthew Flinders's general chart of Terra Australis or Australia shows the route of his circumnavigation of the continent and the sections of coast which he had surveyed. Those parts of the coastline known from the work of earlier surveyors are shown as dotted lines, or as blank sections notably in northern Queensland and on the Western Australian coast.</p> <p>Flinders surveyed the southern coastline from December 1801 to April 1802, discovering the South Australian gulfs and Kangaroo Island. In 1798 he and George Bass had surveyed parts of the southern New South Wales coastline and in 1798/9 he and Bass had circumnavigated Tasmania and proved it an island. These discoveries are reflected in Flinders's chart. Flinders stopped his detailed survey of the Australian coast at the north eastern shore of Arnhem Land in the Northern Territory because of the leaking condition of his ship <em>Investigator</em>. He intended to return with another ship and complete his survey but this never happened. His charts were finally published in 1814.</p> <p>Flinders wanted to name the newly defined continent 'Australia', and had used the name as early as 1804, calling his draft of his chart 'General chart of Australia or Terra Australis'. This draft was drawn up while he was detained on Mauritius by the French, and was forwarded to Sir Joseph Banks in London, with a covering letter in which he asked that his suggestion of the name of Australia be submitted to the Admiralty and 'the learned in geography' for approval. The use of the name was not approved at that time, and 10 years later, the map was published in the atlas that accompanied <em>A Voyage to Terra Australis ....</em> as 'General chart of Terra Australis or Australia'.</p> <p>Flinders was not the first to use the name Australia for the continent of New Holland/New South Wales. The name had been used as early as 1625 by Samuel Purchas, and was actually a misprint for Austrialia del Espiritu Santo the name given by Fernandez de Quiros to the New Hebrides islands. He believed he had discovered a continent and named it for King Philip III of Spain, Archduke of Austria. The name Australia was used in other guises for the next 100 years or so, but was only specifically applied to Australia in 1794 by George Shaw in his book <em>Zoology of New Holland</em>. He writes of the 'vast island or rather continent of Australia, Australasia, or New Holland...'. Flinders may not have been the first to use the name, but he popularised it and Governor Lachlan Macquarie used the name and it was in common usage by the 1820s.</p> </div></div>",,-28.61,137.13,Book,Libraries Board of South Australia,Adelaide,Libraries Board of South Australia G. &amp; W. Nicol (Firm),,NULL
1601,Jubilee photo album Adelaide,,http://www.catalog.slsa.sa.gov.au/record=b2093417,http://www.samemory.sa.gov.au/site/page.cfm?c=1601,Adelaide,"Adelaide city,Adelaide metropolitan area",,,,-34.93,138.59,Book,,,,1884-1913,NULL
1620,Pioneers landing at Port Adelaide,"Skipper, John Michael, 1815-1883, artist",http://www.catalog.slsa.sa.gov.au/record=b2038387,http://www.samemory.sa.gov.au/site/page.cfm?c=1620,Port Adelaide,, <link>http://images.slsa.sa.gov.au/mpcimg/01250/B1212.jpg</link> ,"            <div>              <div>                <p>Adelaide's port in the new colony was at first a rather primitive landing place which became known as Port Misery: the early settlers arrived at a muddy swamp, and both passengers and goods were landed unsatisfactorily at the site.</p>                <p>Artist John Skipper was noted for his vignettes of colonial Adelaide. <em>Pioneers landing at Port Adelaide</em> (1839) captures with humour the difficulties and frustrations encountered on landing at the colony. Without a wharf at the port, ships could not reach the shore and so goods were 'floated' to land and people were carried or ferried in small boats. In 1840 David McLaren built the first wharf which extended into the deeper waters of the Port River, alleviating some of the new arrivals' difficulties.</p>                <p>In addition to problems with landing from the ships, for several years prior to the completion of a proper road, newly arrived migrants had to walk the considerable distance to reach the settlement at Adelaide. Migrants with sufficient finances had their goods transported by bullocks, but many carried their possessions or used wheelbarrows for transport.</p>                <p>Early German settler Carl Gustav Schedlich described in his memoirs his disappointment upon landing at Port Adelaide in December 1846:<br/><em>But speak of Adelaide. O Holy Moses. ...Adelaide was a perfect mudhole...</em><br/>  Schedlich continued about the colony<em>: All my grand ideas were vanished...we found a priest-ridden, narrow-minded community. Not a sign of intellect or refinement; the country nearly bankrupt, the only industry was the grand Burra Burra copper mine.</em></p>              </div>            </div>          ",,-34.78,138.44,Artwork,,,,1836-1851,NULL
1628,Proclamation by His Excellency John Hindmarsh ...,"South Australia. Governor (1836-1838 : Hindmarsh, Sir John)",http://www.catalog.slsa.sa.gov.au/record=b1637210,http://www.samemory.sa.gov.au/site/page.cfm?c=1628,Glenelg,, <link>http://images.slsa.sa.gov.au/samemory/timeline/1830/eposter_ProclamationSA_facsimile.jpg</link> ,"            <div>              <div>                <p>This facsimile was reprinted on 28 December 1998, for South Australia Day 1998, from a copy held by State Records of South Australia in GRG 19/414.</p>                <h4>Transcript</h4>                <p>'It is also at this time especially, my duty to apprize the Colonists of my resolution, to take every lawful means for extending the same protection to the NATIVE POPULATION as to the rest of His Majesty's Subjects, and of my firm determination to punish with exemplary severity, all acts of violence or injustice which may in any manner be practised or attempted against the NATIVES who are to be considered as much under the Safeguard of the law as the Colonists themselves, and equally entitled to the privileges of British Subjects. I must therefore with confidence to the exercise of moderation and forbearance by all Classes, in their intercourse with the NATIVE INHABITANTS, and that they will count (no) opportunity of assisting me to fulfil His Majesty's most gracious and benevolent intentions towards them, by promoting their advancement in civilisation, and ultimately, under the blessing of Divine Providence, their conversion to the Christian Faith. By his excellency's command, Robert Gouger, Colonial Secretary.'</p>              </div>            </div>          ",,-34.98,138.51,Poster,State Library of South Australia],[Adelaide,"Gouger, Robert, 1802-1846",1836-1851,NULL
1630,1939 Simpson Desert Expedition [film],"Madigan, C.T. (Cecil Thomas), 1889-1947",http://www.catalog.slsa.sa.gov.au/record=b2186755,http://www.samemory.sa.gov.au/site/page.cfm?c=1630,Simpson Desert,Flinders Ranges and Far North - Outback,<link>http://images.slsa.sa.gov.au/samemory/exploration/madigan/prg43_4_1_ss.jpg</link> ,"<div><div>  <p>In 1929 Madigan undertook a series of aerial reconnaissances of central Australia and in 1939 followed this up with a scientific expedition into the Simpson Desert. His expedition crossed the desert in 25 days with a party of nine, pioneering the use of mobile radio communication, and making extensive zoological and botanical collections, which included 14 new species of spiders. The geology of the desert was also recorded. This was the first scientific examination of the Simpson Desert and only the second complete crossing by a European. Madigan's expedition was financed by AA Simpson of Adelaide, and was timed to take advantage of two good seasons of rain. Madigan was not the first to attempt a crossing of this desert. Before him there had been David Lindsay who had skirted it in the 1880s, Augustus Poeppel who was surveying the South Australian border in 1880, and in 1936 Ted Colson had crossed the desert from west to east, from his station at Blood Creek to Birdsville. Colson though had mostly followed the 26th parallel, the SA-NT border.</p>  <p>Cecil Madigan was educated at Adelaide High School, Prince Alfred College and Adelaide University. In 1911 he deferred his Rhodes scholarship when appointed meteorologist to the Australasian Antarctic Expedition led by Douglas Mawson. After serving in World War I, he was in 1920 appointed assistant government geologist in the Sudan. In 1922 he became a lecturer at Adelaide University. He served again during World War II as Chief Instructor at the School of Military Field Engineering. This delayed the publication of the scientific reports of the Simpson Desert Expedition. Cecil Madigan died 14 January 1947.</p>  </div></div>",,-26.85,137.64,Film,,Simpson Desert,,"1919-1927,1927-1939",NULL
1632,Deed of settlement,South Australian Company. London Office,http://www.catalog.slsa.sa.gov.au/record=b2182862,http://www.samemory.sa.gov.au/site/page.cfm?c=1632,South Australia,Adelaide city,<link>http://images.slsa.sa.gov.au/samemory/ttp/deedOfSettlement/d1.jpg</link> ,"<div><div> <p>The Deed of settlement and royal charter of incorporation of the South Australian Company is a key document in South Australia's history, as the South Australian Company played a pivotal role in the founding and early survival and development of the colony. The <em>South Australia Act</em> was passed by the British Government in 1834. Before development of the new province could proceed, the Colonization Commissioners required sales of land to the value of 35,000 pounds, but the fixed price of land at 20 shillings per acre resulted in limited land sales.</p> <p>The South Australian Company was formed in London on 9 October 1835 to encourage the preliminary purchase of land in South Australia. George Fife Angas, Thomas Smith and Henry Kingscote formed a joint stock company to purchase the unsold land at 12 shillings per acre, and bought more than 13,000 acres, including prime town and country sections. On 27 June 1836 the Deed of settlement was signed by Angas, Smith, Kingscote and about 300 shareholders of the South Australian Company including John Rundle, Charles Hindley, Raikes Currie, John Pirie and Henry Waymouth.</p> <p>In January 1836 Angas equipped and despatched to South Australia an expedition of four ships on behalf of the company, ahead of the arrival of Colonel William Light and Governor John Hindmarsh in the province. A small settlement was established at Kingscote on Kangaroo Island in July 1836, but the location was unsuitable for farming, and the company's operations were soon transferred to the mainland, where Governor Hindmarsh arrived on 28 December 1836.</p> <p>In the new colony, the South Australian Company provided roads, bridges, ports, warehouses and mills, and established agriculture, whaling, banking and mining enterprises. The South Australian Company continued to play an influential role in the commercial affairs of Adelaide and rural regions for more than a century, with the company winding up on 17 March 1949 and the management of its affairs transferred to Elders Trustee.</p> <p>Due to its enormous significance to the Foundation of South Australia, the <em>Deed of Settlement</em> was submitted and accepted into the <a href=http://www.amw.org.au/index.html>UNESCO Australian Memory of the World program</a> in 2004.</p> </div></div>",,-29.38,135.86,Manuscript,,London,,"Pre-1836,1836-1851",NULL
1656,Mt Gambier climbed,"Angas, George French, 1822-1886",http://www.catalog.slsa.sa.gov.au/record=b2163321,http://www.samemory.sa.gov.au/site/page.cfm?c=1656,Mount Gambier,,<link>http://images.slsa.sa.gov.au/samemory/exploration/Grey/rbri12599232_plate17.jpg</link> ,"<div><div> <p>South Australian Governor, Sir George Grey and artist George French Angas together with the expedition party continued inland from the coast and climbed Mount Schank and Mount Gambier, extinct volcanoes which dominate the South East region of South Australia. They also discovered and named Mount Burr. They had left some of the expedition at Rivoli Bay to survey the area. Angas's illustration of Mount Gambier shows what is now known as the Blue Lake, because of the way in which it changes to a bright blue between November and April, before reverting to a duller colour for the remaining months of the year. Angas wrote in his description of the lake that it was 'of unknown depth, that looks fearfully dark and gloomy when viewed from the heights above ...'</p> George Grey was appointed Governor of South Australia in October 1840. He had previously explored in Western Australia, and served as Resident Magistrate at King George Sound. In 1844 he took time out from his government duties to explore the south-east portion of the colony, which was only known from the brief reports of men overlanding stock from Victoria. In 1845 Grey was appointed Governor of New Zealand and subsequently of South Africa. George French Angas was the son of George Fife Angas and a trained artist. He arrived in South Australia in January 1844 and joined Grey on his expedition and his paintings, published several years later in <em>South Australia illustrated</em> and form a valuable record of the South Australian landscape before it was much changed by white settlement.</div></div>",,-37.82,140.77,Book,Thomas M&apos;Lean,London,"Grey, George, Sir, 1812-1898",,NULL
1657,Rivoli Bay surveyed,"Angas, George French, 1822-1886",http://www.catalog.slsa.sa.gov.au/record=b2163320,http://www.samemory.sa.gov.au/site/page.cfm?c=1657,Rivoli Bay,,<link>http://images.slsa.sa.gov.au/samemory/exploration/Grey/rbri12599232_plate38.jpg</link> ,"<div><div> <p>South Australian Governor, George Grey led an expedition to the south-east of South Australia in April and May 1844. The artist George French Angas accompanied him. At Rivoli Bay a camp was formed and a detailed survey of the Bay begun while Grey explored further inland. Angas wrote in the accompanying text that 'although [the bay was] open to the S.W., a natural breakwater is formed by reefs that stretch across the entrance to the bay, rendering it pretty smooth within. Several vessels have already entered this bay and laid at anchor there, and more recently a township has been formed; it being the intention of the Government to make this the port of the new country to the eastward, and stretching away towards Mt Gambier and Mt Schanck...' Angas was referring to the town of Robe on Guichen Bay to the north of Rivoli Bay which was proclaimed on 23 July 1846, having been surveyed by Thomas Burr, Deputy Surveyor-General. Burr had accompanied Grey on the 1844 expedition.</p> Mount Gambier and Mount Schank had been named by Lieutenant James Grant on 3 December 1800 as he passed the adjacent coastline en route to Sydney in the Lady Nelson. He also named Capes Banks and Northumberland. This was the first recorded European discovery along the southern Australian coast since Pieter Nuyts and Frans Thyssen in January 1627. Rivoli Bay was named by the Baudin expedition in 1802. George Grey decided to explore the district in 1844 as it was still a poorly known region of the colony of South Australia, with the only reports of it being those of men overlanding stock to Adelaide.</div></div>",,-37.51,140.07,Book,Thomas M&apos;Lean,London,"Grey, George, Sir, 1812-1898",,NULL
1662,Grave of a white man found,"McKinlay, John, 1819-1872",http://www.catalog.slsa.sa.gov.au/record=b2163305,http://www.samemory.sa.gov.au/site/page.cfm?c=1662,Lake Massacre,,<link>http://images.slsa.sa.gov.au/samemory/exploration/mckinlay/spi13567792_011.jpg</link> ,"<div><div>  <p>When the Victorian funded Burke and Wills Expedition was considered well overdue, the South Australian government offered to assist in the search and appointed John McKinlay. His expedition left from Kapunda, collected further stores at Blanchewater and moved forward to the Cooper Creek region. He was told by Aboriginal people that there was a grave of a white man nearby. He was determined to exhume the body to see if it was possible to identify it. McKinlay's second in command WO Hodgkinson found a battered pint pot, evidence of white men having been in the vicinity. The following day, 21 October 1861 McKinlay proceeded to open the grave with Hodgkinson. The body was dressed in a flannel shirt, and also bore what appeared to be sabre cuts.</p>  McKinlay had found the body of Charles Gray, one of the members of the Burke and Wills expedition. The evidence suggested that he had died following an attack by some Aboriginal people. In fact he died of natural causes brought about by hard travel and inadequate food and only a few days before Robert O'Hara Burke, William Wills and John King reached the expected safety and resources of camp 65. However the depot was deserted; Burke's men had given up on the return of their leader and left earlier that very day taking with them the bulk of the provisions. Burke led Wills and King towards the police station at Mount Hopeless. They never reached it, and only John King survived, aided by the local Aboriginal people and finally rescued by another search expedition led by AW Howitt.</div></div>",,-27.33,140.1,Book,F.F. Bailliere,Melbourne,Burke and Wills Expedition (1860-1861),,NULL
1663,McKinlay finds other traces of  Burke and Wills,"McKinlay, John, 1819-1872",http://www.catalog.slsa.sa.gov.au/record=b2163306,http://www.samemory.sa.gov.au/site/page.cfm?c=1663,Lake Massacre,,<link>http://images.slsa.sa.gov.au/samemory/exploration/mckinlay/spi13567792_012.jpg</link> ,"<div><div>  <p>After exhuming the body McKinlay meticulously recorded details of it. He also measured the major bones of the body, as a possible guide to identity, and re-buried them. He blazed a nearby tree to show when he had been in the area. He questioned the Aboriginal man, who had shown him the grave, about the body and searched more widely for evidence of the Burke and Wills party. Horse and camel dung was found and a quantity of fish bones. They found burned bones in an old fire, and traces of a Nautical Almanac used for surveying. John McKinlay was convinced the entire party had been killed in this area.</p>  The body was identified as that of Charles Gray, who had died of exhaustion and starvation. Burke and Wills also died of these natural causes despite the assistance they had been given by the local Aboriginal people. John King had remained alive with their help long enough to be rescued by AW Howitt, leader of another search party. He was the sole survivor of the very expensively equipped Burke and Wills expedition. John McKinlay, having found Gray's body, sent a report back to Adelaide and learnt from Hodgkinson on his return of Howitt's success. McKinlay decided to continue across Australia to the Gulf of Carpentaria and return to Adelaide via Port Denison and a coastal steamer.</div></div>",,-27.33,140.1,Book,F.F. Bailliere,Melbourne,Burke and Wills Expedition (1860-1861),,NULL
1826,Aerial views of the Mulligan and Simpson Desert,"Madigan, C. T. (Cecil Thomas), 1889-1947",http://www.catalog.slsa.sa.gov.au/record=b2163388,http://www.samemory.sa.gov.au/site/page.cfm?c=1826,Mulligan River,,<link>http://images.slsa.sa.gov.au/samemory/exploration/madigan/pami13585241_pl006.jpg</link> ,"<div><div> <p>Cecil Madigan conducted aerial surveys of Central Australia in 1929. The view of the Mulligan River, west of Birdsville is taken from 4000 feet, and reveals earlier channels of the river. The lower photograph shows the south-east margin of the Simpson Desert from 5000 feet. Goyder Lagoon is the dark mark at the top of the photograph. Madigan considered that this view was as near as it was possible to show Charles Sturt's route into the desert. This view shows the typical straggly sand dunes at the edge of the Simpson Desert.</p> Madigan made a series of nine flights in Central Australia in 1929 with the loan of two Westland Wapiti aircraft and their crew from the Defence Department. During the flights two cameras made exposures every five minutes. The first flights were made over known territory to enable results of later flights to be assessed more accurately. Madigan's work revealed the uncompromising nature of the regions covered, where rivers petered out into the desert, however no new landforms were discovered. However, the aerial survey provided Madigan with the information he needed to undertake a scientific survey of the Simpson Desert from the ground in 1939.</div></div>",,-26.68,138.98,Pamphlet,Royal Society of New South Wales,Sydney,,,NULL
1864,Woolwashing works,,http://www.catalog.slsa.sa.gov.au/record=b2042762,http://www.samemory.sa.gov.au/site/page.cfm?c=1864,Thebarton,, <link>http://images.slsa.sa.gov.au/mpcimg/07500/B7340.jpg</link> ,"            <div>              <div>After shearing and sorting wool is washed in a process known as 'scouring' to remove any dirt, sweat and the natural wool wax. It is then 'carded' and combed before further processing to produce a yarn that can be spun.</div>            </div>          ",,-34.91,138.57,Photograph,,,,1852-1883,NULL
1939,Place names gazetted,"Harris, C. Hope (Charles Hope), 1846-1915",http://www.catalog.slsa.sa.gov.au/record=b2163435,http://www.samemory.sa.gov.au/site/page.cfm?c=1939,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/harris/zi13011510_004.jpg</link> ,"<div><div> <p>Harris continues Governor Gawler's edict from the Government Gazette of 31 October 1839, in which Gawler asks that the colonists discover where possible the Aboriginal names for places and to forward that information to the Surveyor-General's Office so that it can be recorded and placed on the map. Through this practice says Harris, several thousand Aboriginal names have been recorded as at 1893. He also refers to the official gazetting of place names, either in the South Australian government gazette or in communication with the Home, [British] Government, by the early governors of the colony.</p> Charles Hope Harris obtained his surveyor's licence in 1869, and in 1871 was hired by the South Australian government to conduct surveys in the northern agricultural regions, and in 1874 to conduct trigonometrical surveys north-west of Port Augusta. He discovered and mapped Lake Harris, which was named for him by the government. Harris was Examiner of Licensed Surveyors' Work, a lecturer on surveying at the School of Mines and was the state's acknowledged expert on the variation and dip of the magnetic needle. Among a number of other books and articles he wrote Field service; handbook for Government Surveyors, the fourth edition of which was published in 1914. He maintained a keen interest in the early history of South Australia and on the use of Aboriginal names for place names.</div></div>",,-29.38,135.86,Book,Australasian Association for the Advancement of Science,Adelaide,,,NULL
1940,Surveying in unknown country,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163425,http://www.samemory.sa.gov.au/site/page.cfm?c=1940,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_001.jpg</link> ,"<div><div> <p>Edward Frome was the Surveyor General in South Australia from 1839-1849 and sets out in his book <em>Colonial surveying</em> some of the requirements for surveying in unknown country. This is very distinct from the survey work undertaken in an established country, for example England, where the surveyor is examining already established towns, roads and boundaries. South Australia, when founded in 1836, had only natural features. All else was to be imposed on the landscape by the earliest surveyors, William Light, and after him EC Frome and subsequent surveyors-general and their staff.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia for the country blocks, a task that the first Surveyor General William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to commence the Special Surveys of very large country blocks. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,1836-1851,NULL
1941,Careful exploration comes first,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163426,http://www.samemory.sa.gov.au/site/page.cfm?c=1941,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_002.jpg</link> ,"<div><div> <p>In his book on <em>Colonial surveying</em> Frome states decisively that the first step in the surveying of a new settlement is the careful exploration of the country. The quick marking out of sections without resource to a proper survey, as recommended by Captain Dawson only makes problems for the future. This is not says Frome a survey. Therefore a careful and detailed exploration is necessary, with the collection of vital practical information for the furtherance of survey work.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to undertake the commencement of the Special Surveys of very large country blocks. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1942,Explorers overview of new country,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163427,http://www.samemory.sa.gov.au/site/page.cfm?c=1942,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_003.jpg</link> ,"<div><div> <p>Explorers gather information about the new country they travel through: inhabitants, geology, rivers, mountains. This information, states EC Frome, former Surveyor-General of South Australia, together with the map they produce assists the surveyor in selecting the site for the main town. The explorer should check important points by astronomical observation where possible, together with the altitudes of any significant heights. Frome outlines the principal requirements for the main town which include plentiful water, easy access to both the interior of the country and to a good harbour, access to timber and other building materials and access to adequate land for pastoral and agricultural purposes.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to undertake the commencement of the Special Surveys of very large country sections. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1943,Objects of exploration,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163428,http://www.samemory.sa.gov.au/site/page.cfm?c=1943,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_017.jpg</link> ,"<div><div> <p>Frome concludes his work on <em>Colonial surveying</em> with details of the objects for exploration beyond the settled districts; broadly these are the expansion of geographical knowledge and the discovery of resources of benefit to the colony. He also lists the various modes of transport that should be utilised, including camels in desert regions. The explorer must be able to trust his own judgment and have practical skills in determining his position. The explorer must also create at least a rough sketch of the country he traverses, noting particularly hills, ranges and rivers.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to commence the Special Surveys of very large country sections. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1944,Navigating at sea,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163429,http://www.samemory.sa.gov.au/site/page.cfm?c=1944,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_018.jpg</link> ,"<div><div> <p>Continuing his section on being an explorer and the practicalities needed, Frome advocates a type of rough triangulation with sextant or other instrument for an explorer to determine his position. He does recognise there may be difficulties due to the very nature of the country itself. The explorer must know how to navigate by using the sun and the stars and Frome then describes how a seaman navigates at sea as a prelude to a description for land navigation.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to commence undertaking the Special Surveys of very large country sections. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849, and in 1850 published his work <em>Colonial Surveying</em>. Frome retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1945,Navigating on land,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163430,http://www.samemory.sa.gov.au/site/page.cfm?c=1945,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_019.jpg</link> ,"<div><div> <p>Frome continues the section on the necessities of exploration with the method of navigating on land. He realises that there will be difficulties in the field that meaning that the land explorer may be unable to take a regular noon sight (the traditional time to establish latitude at sea) and may find it more convenient to determine his latitude by the stars; Frome describes how. He also describes how to check the chronometer for accurate determination of longitude. All of these calculations will enable the explorer to produce a map of his route.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to commence the Special Surveys of very large country sections. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1946,Daily meteorological observations,"Frome, Edward Charles, 1802-1890",http://www.catalog.slsa.sa.gov.au/record=b2163431,http://www.samemory.sa.gov.au/site/page.cfm?c=1946,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/survey_frome/zi13059269_020.jpg</link> ,"<div><div> <p>Frome concludes his overview on how to be an explorer by detailing the types of meteorological records that need to be recorded. These are essential as a guide to the nature of the new country discovered. He describes how to construct a makeshift rain gauge.</p> <p>Captain Edward Charles Frome, Royal Engineers, arrived in South Australia in September 1839 to take up the task of surveying South Australia. The country blocks were his immediate priority. This was a task that the first Surveyor-General, William Light had been unable to complete because of interference from London. Frome had an onerous task as the colonists clamoured for their land. He had not only to revise the work that had been inadequately marked by George Kingston, Light's second-in-command, but also to undertake the commencement of the Special Surveys of very large country sections. By 1841 Frome had laid out roads and secondary towns and taken accurate trigonometrical survey to the limits of settlement. Frome returned to England in 1849 and retired in 1877 with the rank of General.</p> </div></div>",,-29.38,135.86,Book,John Weale,London,,,NULL
1947,Incentive to explore Australia,"Banks, Joseph, Sir, 1743-1820",http://www.catalog.slsa.sa.gov.au/record=b2163423,http://www.samemory.sa.gov.au/site/page.cfm?c=1947,Australia,,<link>http://images.slsa.sa.gov.au/samemory/exploration/Banks/spi131162470_001_002_231.jpg</link> ,"<div><div> <p>In a letter of 18 September 1798, to John King, Under Secretary of State, Sir Joseph Banks writes that it is impossible that a continent the size of Australia does not have large rivers, and other commodities useful to England. He proposes an expedition to search the interior.</p> <p>Banks commences his letter by discussing the plant cabin that will be placed aboard HMS <em>Porpoise</em> to transplant living plants to Port Jackson. Among the plants to be taken out are hop plants for the brewing of beer, an attempt to wean the convicts and settlers away from hard spirits.</p> <p>However the most important matter to Banks in this letter is the question of the further exploration of Australia. To date (ie 1798) in New South Wales no large rivers, such as exist in Europe or America, had been found. Banks finds it difficult to believe that a country as large as Australia does not appear to have large rivers. He considers it a challenge that needs to be followed up, and suggests the noted African explorer Mungo Park.</p> Sir Joseph Banks had accompanied Captain James Cook on the voyage of discovery of 1768 that resulted in the charting of the east coast of Australia. After his return to England in 1771 he became an authority on the southern continent, particularly so after his election as President of the Royal Society in 1778. In 1779 he had recommended Botany Bay as the site for a penal colony. He was a great supporter of the colony of New South Wales when it was finally settled in 1788 and sent out collectors to continue the search for plant specimens. He also supported explorers such as Matthew Flinders. Banks' belief that a land mass the size of Australia must have rivers of great size, that were navigable and lead to the centre of the continent was a spur for explorers long after his death in 1820, and was not wholly disproven for another 50 years.</div></div>",,-28.61,137.13,Book,Library Committee of the Commonwealth Parliament,Sydney,,,NULL
